Sample,Isotope,Evaluation,Calculated,Units
Pickering-A 19558C,pu239,ENDF VII.1 + mod-Mughabghab v1,6.453E-01,at % / element
Pickering-A 19558C,pu240,ENDF VII.1 + mod-Mughabghab v1,2.970E-01,at % / element
Pickering-A 19558C,pu241,ENDF VII.1 + mod-Mughabghab v1,3.251E-02,at % / element
Pickering-A 19558C,pu242,ENDF VII.1 + mod-Mughabghab v1,2.366E-02,at % / element
Pickering-A 19558C,h3,ENDF VII.1 + mod-Mughabghab v1,2.210E+09,Bq / kgU
Pickering-A 19558C,sr90,ENDF VII.1 + mod-Mughabghab v1,5.010E+11,Bq / kgU
Pickering-A 19558C,tc99,ENDF VII.1 + mod-Mughabghab v1,1.534E+08,Bq / kgU
Pickering-A 19558C,ru106,ENDF VII.1 + mod-Mughabghab v1,2.833E+08,Bq / kgU
Pickering-A 19558C,sb125,ENDF VII.1 + mod-Mughabghab v1,2.699E+09,Bq / kgU
Pickering-A 19558C,i129,ENDF VII.1 + mod-Mughabghab v1,3.010E+05,Bq / kgU
Pickering-A 19558C,cs134,ENDF VII.1 + mod-Mughabghab v1,3.974E+09,Bq / kgU
Pickering-A 19558C,cs137,ENDF VII.1 + mod-Mughabghab v1,7.821E+11,Bq / kgU
Pickering-A 19558C,eu154,ENDF VII.1 + mod-Mughabghab v1,9.608E+09,Bq / kgU
Pickering-A 19558C,eu155,ENDF VII.1 + mod-Mughabghab v1,4.001E+09,Bq / kgU
Pickering-A 19558C,np237,ENDF VII.1 + mod-Mughabghab v1,9.623E+05,Bq / kgU
Pickering-A 19558C,am241,ENDF VII.1 + mod-Mughabghab v1,1.941E+10,Bq / kgU
Pickering-A 19558C,cm244,ENDF VII.1 + mod-Mughabghab v1,8.295E+08,Bq / kgU
