Sample,Isotope,Evaluation,g / g Uinit
87-63,U-234,ENDF VII.1 + mod-Mughabghab,1.43E-04
87-63,U-235,ENDF VII.1 + mod-Mughabghab,4.10E-03
87-63,U-236,ENDF VII.1 + mod-Mughabghab,4.27E-03
87-63,U-238,ENDF VII.1 + mod-Mughabghab,9.35E-01
87-63,Pu-238,ENDF VII.1 + mod-Mughabghab,3.13E-04
87-63,Pu-239,ENDF VII.1 + mod-Mughabghab,5.13E-03
87-63,Pu-240,ENDF VII.1 + mod-Mughabghab,2.90E-03
87-63,Pu-241,ENDF VII.1 + mod-Mughabghab,1.15E-03
87-63,Pu-242,ENDF VII.1 + mod-Mughabghab,9.14E-04
87-63,Np-237,ENDF VII.1 + mod-Mughabghab,5.39E-04
87-63,Am-241,ENDF VII.1 + mod-Mughabghab,3.91E-04
87-63,Cs-133,ENDF VII.1 + mod-Mughabghab,1.43E-03
87-63,Cs-134,ENDF VII.1 + mod-Mughabghab,2.84E-05
87-63,Cs-135,ENDF VII.1 + mod-Mughabghab,5.02E-04
87-63,Cs-137,ENDF VII.1 + mod-Mughabghab,1.38E-03
87-63,Nd-143,ENDF VII.1 + mod-Mughabghab,8.76E-04
87-63,Nd-144,ENDF VII.1 + mod-Mughabghab,1.82E-03
87-63,Nd-145,ENDF VII.1 + mod-Mughabghab,8.33E-04
87-63,Nd-146,ENDF VII.1 + mod-Mughabghab,9.32E-04
87-63,Nd-148,ENDF VII.1 + mod-Mughabghab,4.86E-04
87-63,Nd-150,ENDF VII.1 + mod-Mughabghab,2.42E-04
87-63,Sm-147,ENDF VII.1 + mod-Mughabghab,2.94E-04
87-63,Sm-148,ENDF VII.1 + mod-Mughabghab,2.11E-04
87-63,Sm-149,ENDF VII.1 + mod-Mughabghab,2.46E-06
87-63,Sm-150,ENDF VII.1 + mod-Mughabghab,3.71E-04
87-63,Sm-151,ENDF VII.1 + mod-Mughabghab,1.01E-05
87-63,Sm-152,ENDF VII.1 + mod-Mughabghab,1.29E-04
87-63,Sm-154,ENDF VII.1 + mod-Mughabghab,5.33E-05
87-63,Eu-151,ENDF VII.1 + mod-Mughabghab,1.06E-06
87-63,Eu-152,ENDF VII.1 + mod-Mughabghab,5.71E-09
87-63,Eu-153,ENDF VII.1 + mod-Mughabghab,1.54E-04
87-63,Eu-154,ENDF VII.1 + mod-Mughabghab,1.15E-05
87-63,Eu-155,ENDF VII.1 + mod-Mughabghab,1.88E-06
87-63,Gd-154,ENDF VII.1 + mod-Mughabghab,2.59E-05
87-63,Gd-155,ENDF VII.1 + mod-Mughabghab,1.03E-05
87-63,Gd-156,ENDF VII.1 + mod-Mughabghab,1.65E-04
87-63,Gd-158,ENDF VII.1 + mod-Mughabghab,2.91E-05
87-63,Gd-160,ENDF VII.1 + mod-Mughabghab,1.71E-06
87-63,Tc-99,ENDF VII.1 + mod-Mughabghab,1.03E-03
87-63,Sr-90,ENDF VII.1 + mod-Mughabghab,5.55E-04
87-63,U-234,JEFF-3.2,1.43E-04
87-63,U-235,JEFF-3.2,4.10E-03
87-63,U-236,JEFF-3.2,4.27E-03
87-63,U-238,JEFF-3.2,9.35E-01
87-63,Pu-238,JEFF-3.2,3.13E-04
87-63,Pu-239,JEFF-3.2,5.13E-03
87-63,Pu-240,JEFF-3.2,2.90E-03
87-63,Pu-241,JEFF-3.2,1.15E-03
87-63,Pu-242,JEFF-3.2,9.14E-04
87-63,Np-237,JEFF-3.2,5.39E-04
87-63,Am-241,JEFF-3.2,3.91E-04
87-63,Cs-133,JEFF-3.2,1.43E-03
87-63,Cs-134,JEFF-3.2,2.84E-05
87-63,Cs-135,JEFF-3.2,5.02E-04
87-63,Cs-137,JEFF-3.2,1.38E-03
87-63,Nd-143,JEFF-3.2,8.76E-04
87-63,Nd-144,JEFF-3.2,1.82E-03
87-63,Nd-145,JEFF-3.2,8.33E-04
87-63,Nd-146,JEFF-3.2,9.32E-04
87-63,Nd-148,JEFF-3.2,4.86E-04
87-63,Nd-150,JEFF-3.2,2.42E-04
87-63,Sm-147,JEFF-3.2,2.94E-04
87-63,Sm-148,JEFF-3.2,2.11E-04
87-63,Sm-149,JEFF-3.2,2.45E-06
87-63,Sm-150,JEFF-3.2,3.71E-04
87-63,Sm-151,JEFF-3.2,1.01E-05
87-63,Sm-152,JEFF-3.2,1.29E-04
87-63,Sm-154,JEFF-3.2,5.33E-05
87-63,Eu-151,JEFF-3.2,1.06E-06
87-63,Eu-152,JEFF-3.2,5.71E-09
87-63,Eu-153,JEFF-3.2,1.54E-04
87-63,Eu-154,JEFF-3.2,1.22E-05
87-63,Eu-155,JEFF-3.2,1.86E-06
87-63,Gd-154,JEFF-3.2,2.74E-05
87-63,Gd-155,JEFF-3.2,1.02E-05
87-63,Gd-156,JEFF-3.2,1.63E-04
87-63,Gd-158,JEFF-3.2,2.90E-05
87-63,Gd-160,JEFF-3.2,1.71E-06
87-63,Tc-99,JEFF-3.2,1.03E-03
87-63,Sr-90,JEFF-3.2,5.55E-04
87-63,U-234,JEFF-3.2 + mod-Mughabghab,1.43E-04
87-63,U-235,JEFF-3.2 + mod-Mughabghab,4.10E-03
87-63,U-236,JEFF-3.2 + mod-Mughabghab,4.27E-03
87-63,U-238,JEFF-3.2 + mod-Mughabghab,9.35E-01
87-63,Pu-238,JEFF-3.2 + mod-Mughabghab,3.13E-04
87-63,Pu-239,JEFF-3.2 + mod-Mughabghab,5.13E-03
87-63,Pu-240,JEFF-3.2 + mod-Mughabghab,2.90E-03
87-63,Pu-241,JEFF-3.2 + mod-Mughabghab,1.15E-03
