Sample,Isotope,Evaluation,g / g Uinit
87-72,Cs-135,ENDF VII.1 + mod-Mughabghab v1,4.68E-04
87-72,Cs-137,ENDF VII.1 + mod-Mughabghab v1,1.16E-03
87-72,Nd-143,ENDF VII.1 + mod-Mughabghab v1,8.12E-04
87-72,Nd-144,ENDF VII.1 + mod-Mughabghab v1,1.49E-03
87-72,Nd-145,ENDF VII.1 + mod-Mughabghab v1,7.30E-04
87-72,Nd-146,ENDF VII.1 + mod-Mughabghab v1,7.66E-04
87-72,Nd-148,ENDF VII.1 + mod-Mughabghab v1,4.07E-04
87-72,Nd-150,ENDF VII.1 + mod-Mughabghab v1,1.99E-04
87-72,Sm-147,ENDF VII.1 + mod-Mughabghab v1,2.82E-04
87-72,Sm-148,ENDF VII.1 + mod-Mughabghab v1,1.60E-04
87-72,Sm-149,ENDF VII.1 + mod-Mughabghab v1,2.24E-06
87-72,Sm-150,ENDF VII.1 + mod-Mughabghab v1,3.05E-04
87-72,Sm-151,ENDF VII.1 + mod-Mughabghab v1,9.08E-06
87-72,Sm-152,ENDF VII.1 + mod-Mughabghab v1,1.17E-04
87-72,Sm-154,ENDF VII.1 + mod-Mughabghab v1,4.14E-05
87-72,Eu-151,ENDF VII.1 + mod-Mughabghab v1,9.66E-07
87-72,Eu-152,ENDF VII.1 + mod-Mughabghab v1,6.32E-09
87-72,Eu-153,ENDF VII.1 + mod-Mughabghab v1,1.27E-04
87-72,Eu-154,ENDF VII.1 + mod-Mughabghab v1,8.81E-06
87-72,Eu-155,ENDF VII.1 + mod-Mughabghab v1,1.44E-06
87-72,Gd-154,ENDF VII.1 + mod-Mughabghab v1,2.02E-05
87-72,Gd-155,ENDF VII.1 + mod-Mughabghab v1,8.13E-06
87-72,Gd-156,ENDF VII.1 + mod-Mughabghab v1,1.07E-04
87-72,Gd-158,ENDF VII.1 + mod-Mughabghab v1,1.98E-05
87-72,Gd-160,ENDF VII.1 + mod-Mughabghab v1,0.00E+00
87-72,Tc-99,ENDF VII.1 + mod-Mughabghab v1,8.86E-04
87-72,Sr-90,ENDF VII.1 + mod-Mughabghab v1,4.91E-04
87-63,U-234,ENDF VII.0,1.41E-04
87-63,U-235,ENDF VII.0,4.15E-03
87-63,U-236,ENDF VII.0,4.27E-03
87-63,U-238,ENDF VII.0,9.35E-01
87-63,Pu-238,ENDF VII.0,2.76E-04
87-63,Pu-239,ENDF VII.0,5.24E-03
87-63,Pu-240,ENDF VII.0,2.96E-03
87-63,Pu-241,ENDF VII.0,1.16E-03
87-63,Pu-242,ENDF VII.0,8.83E-04
87-63,Np-237,ENDF VII.0,5.46E-04
87-63,Am-241,ENDF VII.0,4.03E-04
87-63,Cs-133,ENDF VII.0,1.42E-03
87-63,Cs-134,ENDF VII.0,2.90E-05
87-63,Cs-135,ENDF VII.0,5.04E-04
87-63,Cs-137,ENDF VII.0,1.38E-03
87-63,Nd-143,ENDF VII.0,8.79E-04
87-63,Nd-144,ENDF VII.0,1.81E-03
87-63,Nd-145,ENDF VII.0,8.18E-04
87-63,Nd-146,ENDF VII.0,9.46E-04
87-63,Nd-148,ENDF VII.0,4.86E-04
87-63,Nd-150,ENDF VII.0,2.42E-04
87-63,Sm-147,ENDF VII.0,2.96E-04
87-63,Sm-148,ENDF VII.0,2.10E-04
87-63,Sm-149,ENDF VII.0,2.47E-06
87-63,Sm-150,ENDF VII.0,3.70E-04
87-63,Sm-151,ENDF VII.0,1.01E-05
87-63,Sm-152,ENDF VII.0,1.29E-04
87-63,Sm-154,ENDF VII.0,5.33E-05
87-63,Eu-151,ENDF VII.0,1.08E-06
87-63,Eu-152,ENDF VII.0,5.77E-09
87-63,Eu-153,ENDF VII.0,1.60E-04
87-63,Eu-154,ENDF VII.0,1.18E-05
87-63,Eu-155,ENDF VII.0,1.78E-06
87-63,Gd-154,ENDF VII.0,2.71E-05
87-63,Gd-155,ENDF VII.0,1.00E-05
87-63,Gd-156,ENDF VII.0,1.58E-04
87-63,Gd-158,ENDF VII.0,2.87E-05
87-63,Gd-160,ENDF VII.0,1.71E-06
87-63,Tc-99,ENDF VII.0,1.01E-03
87-63,Sr-90,ENDF VII.0,5.55E-04
87-63,U-234,ENDF VII.0 + mod-Wright,1.41E-04
87-63,U-235,ENDF VII.0 + mod-Wright,4.15E-03
87-63,U-236,ENDF VII.0 + mod-Wright,4.27E-03
87-63,U-238,ENDF VII.0 + mod-Wright,9.35E-01
87-63,Pu-238,ENDF VII.0 + mod-Wright,2.76E-04
87-63,Pu-239,ENDF VII.0 + mod-Wright,5.24E-03
87-63,Pu-240,ENDF VII.0 + mod-Wright,2.96E-03
87-63,Pu-241,ENDF VII.0 + mod-Wright,1.16E-03
87-63,Pu-242,ENDF VII.0 + mod-Wright,8.83E-04
87-63,Np-237,ENDF VII.0 + mod-Wright,5.46E-04
87-63,Am-241,ENDF VII.0 + mod-Wright,4.03E-04
87-63,Cs-133,ENDF VII.0 + mod-Wright,1.42E-03
87-63,Cs-134,ENDF VII.0 + mod-Wright,2.90E-05
87-63,Cs-135,ENDF VII.0 + mod-Wright,5.04E-04
87-63,Cs-137,ENDF VII.0 + mod-Wright,1.38E-03
87-63,Nd-143,ENDF VII.0 + mod-Wright,8.79E-04
87-63,Nd-144,ENDF VII.0 + mod-Wright,1.81E-03
87-63,Nd-145,ENDF VII.0 + mod-Wright,8.18E-04
87-63,Nd-146,ENDF VII.0 + mod-Wright,9.46E-04
87-63,Nd-148,ENDF VII.0 + mod-Wright,4.86E-04
87-63,Nd-150,ENDF VII.0 + mod-Wright,2.42E-04
87-63,Sm-147,ENDF VII.0 + mod-Wright,2.96E-04
87-63,Sm-148,ENDF VII.0 + mod-Wright,2.10E-04
87-63,Sm-149,ENDF VII.0 + mod-Wright,2.47E-06
87-63,Sm-150,ENDF VII.0 + mod-Wright,3.70E-04
87-63,Sm-151,ENDF VII.0 + mod-Wright,1.01E-05
87-63,Sm-152,ENDF VII.0 + mod-Wright,1.29E-04
87-63,Sm-154,ENDF VII.0 + mod-Wright,5.33E-05
87-63,Eu-151,ENDF VII.0 + mod-Wright,1.08E-06
87-63,Eu-152,ENDF VII.0 + mod-Wright,5.78E-09
87-63,Eu-153,ENDF VII.0 + mod-Wright,1.60E-04
87-63,Eu-154,ENDF VII.0 + mod-Wright,1.02E-05
87-63,Eu-155,ENDF VII.0 + mod-Wright,1.82E-06
87-63,Gd-154,ENDF VII.0 + mod-Wright,2.35E-05
87-63,Gd-155,ENDF VII.0 + mod-Wright,1.03E-05
87-63,Gd-156,ENDF VII.0 + mod-Wright,1.63E-04
87-63,Gd-158,ENDF VII.0 + mod-Wright,2.90E-05
87-63,Gd-160,ENDF VII.0 + mod-Wright,1.71E-06
87-63,Tc-99,ENDF VII.0 + mod-Wright,1.01E-03
87-63,Sr-90,ENDF VII.0 + mod-Wright,5.55E-04
87-63,U-234,ENDF VII.0 + mod-Mughabghab v1,1.41E-04
87-63,U-235,ENDF VII.0 + mod-Mughabghab v1,4.15E-03
87-63,U-236,ENDF VII.0 + mod-Mughabghab v1,4.27E-03
87-63,U-238,ENDF VII.0 + mod-Mughabghab v1,9.35E-01
87-63,Pu-238,ENDF VII.0 + mod-Mughabghab v1,2.76E-04
87-63,Pu-239,ENDF VII.0 + mod-Mughabghab v1,5.24E-03
87-63,Pu-240,ENDF VII.0 + mod-Mughabghab v1,2.96E-03
87-63,Pu-241,ENDF VII.0 + mod-Mughabghab v1,1.16E-03
87-63,Pu-242,ENDF VII.0 + mod-Mughabghab v1,8.83E-04
87-63,Np-237,ENDF VII.0 + mod-Mughabghab v1,5.46E-04
87-63,Am-241,ENDF VII.0 + mod-Mughabghab v1,4.03E-04
87-63,Cs-133,ENDF VII.0 + mod-Mughabghab v1,1.42E-03
87-63,Cs-134,ENDF VII.0 + mod-Mughabghab v1,2.90E-05
87-63,Cs-135,ENDF VII.0 + mod-Mughabghab v1,5.04E-04
87-63,Cs-137,ENDF VII.0 + mod-Mughabghab v1,1.38E-03
87-63,Nd-143,ENDF VII.0 + mod-Mughabghab v1,8.79E-04
87-63,Nd-144,ENDF VII.0 + mod-Mughabghab v1,1.81E-03
87-63,Nd-145,ENDF VII.0 + mod-Mughabghab v1,8.18E-04
87-63,Nd-146,ENDF VII.0 + mod-Mughabghab v1,9.46E-04
87-63,Nd-148,ENDF VII.0 + mod-Mughabghab v1,4.86E-04
87-63,Nd-150,ENDF VII.0 + mod-Mughabghab v1,2.42E-04
87-63,Sm-147,ENDF VII.0 + mod-Mughabghab v1,2.96E-04
87-63,Sm-148,ENDF VII.0 + mod-Mughabghab v1,2.10E-04
87-63,Sm-149,ENDF VII.0 + mod-Mughabghab v1,2.47E-06
87-63,Sm-150,ENDF VII.0 + mod-Mughabghab v1,3.70E-04
87-63,Sm-151,ENDF VII.0 + mod-Mughabghab v1,1.01E-05
87-63,Sm-152,ENDF VII.0 + mod-Mughabghab v1,1.29E-04
87-63,Sm-154,ENDF VII.0 + mod-Mughabghab v1,5.33E-05
87-63,Eu-151,ENDF VII.0 + mod-Mughabghab v1,1.08E-06
87-63,Eu-152,ENDF VII.0 + mod-Mughabghab v1,5.78E-09
87-63,Eu-153,ENDF VII.0 + mod-Mughabghab v1,1.60E-04
87-63,Eu-154,ENDF VII.0 + mod-Mughabghab v1,1.11E-05
87-63,Eu-155,ENDF VII.0 + mod-Mughabghab v1,1.80E-06
87-63,Gd-154,ENDF VII.0 + mod-Mughabghab v1,2.54E-05
87-63,Gd-155,ENDF VII.0 + mod-Mughabghab v1,1.01E-05
87-63,Gd-156,ENDF VII.0 + mod-Mughabghab v1,1.60E-04
87-63,Gd-158,ENDF VII.0 + mod-Mughabghab v1,2.88E-05
87-63,Gd-160,ENDF VII.0 + mod-Mughabghab v1,1.71E-06
87-63,Tc-99,ENDF VII.0 + mod-Mughabghab v1,1.01E-03
87-63,Sr-90,ENDF VII.0 + mod-Mughabghab v1,5.55E-04
87-63,U-234,ENDF VII.1,1.43E-04
87-63,U-235,ENDF VII.1,4.10E-03
87-63,U-236,ENDF VII.1,4.27E-03
87-63,U-238,ENDF VII.1,9.35E-01
87-63,Pu-238,ENDF VII.1,3.13E-04
87-63,Pu-239,ENDF VII.1,5.13E-03
87-63,Pu-240,ENDF VII.1,2.90E-03
87-63,Pu-241,ENDF VII.1,1.15E-03
87-63,Pu-242,ENDF VII.1,9.14E-04
87-63,Np-237,ENDF VII.1,5.39E-04
87-63,Am-241,ENDF VII.1,3.91E-04
87-63,Cs-133,ENDF VII.1,1.43E-03
87-63,Cs-134,ENDF VII.1,2.84E-05
87-63,Cs-135,ENDF VII.1,5.02E-04
87-63,Cs-137,ENDF VII.1,1.38E-03
87-63,Nd-143,ENDF VII.1,8.76E-04
87-63,Nd-144,ENDF VII.1,1.82E-03
87-63,Nd-145,ENDF VII.1,8.33E-04
87-63,Nd-146,ENDF VII.1,9.32E-04
87-63,Nd-148,ENDF VII.1,4.86E-04
87-63,Nd-150,ENDF VII.1,2.42E-04
87-63,Sm-147,ENDF VII.1,2.95E-04
87-63,Sm-148,ENDF VII.1,2.11E-04
87-63,Sm-149,ENDF VII.1,2.45E-06
87-63,Sm-150,ENDF VII.1,3.71E-04
87-63,Sm-151,ENDF VII.1,1.01E-05
87-63,Sm-152,ENDF VII.1,1.29E-04
87-63,Sm-154,ENDF VII.1,5.33E-05
87-63,Eu-151,ENDF VII.1,1.07E-06
87-63,Eu-152,ENDF VII.1,5.66E-09
87-63,Eu-153,ENDF VII.1,1.54E-04
87-63,Eu-154,ENDF VII.1,1.21E-05
87-63,Eu-155,ENDF VII.1,1.81E-06
87-63,Gd-154,ENDF VII.1,2.76E-05
87-63,Gd-155,ENDF VII.1,1.02E-05
87-63,Gd-156,ENDF VII.1,1.63E-04
87-63,Gd-158,ENDF VII.1,2.90E-05
87-63,Gd-160,ENDF VII.1,1.71E-06
87-63,Tc-99,ENDF VII.1,1.03E-03
87-63,Sr-90,ENDF VII.1,5.55E-04
87-63,U-234,ENDF VII.1 + mod-Mughabghab v1,1.43E-04
87-63,U-235,ENDF VII.1 + mod-Mughabghab v1,4.10E-03
87-63,U-236,ENDF VII.1 + mod-Mughabghab v1,4.27E-03
87-63,U-238,ENDF VII.1 + mod-Mughabghab v1,9.35E-01
87-63,Pu-238,ENDF VII.1 + mod-Mughabghab v1,3.13E-04
87-63,Pu-239,ENDF VII.1 + mod-Mughabghab v1,5.13E-03
